 1.0  2.0  3.0
 4.0  2.0  1.0
 3.0  5.0  1.0
 1.0  6.0  4.0
 1.0  5.0  6.0
 3.0  2.0  7.0
 7.0  2.0  8.0
 8.0  2.0  9.0
 9.0  2.0  10.0
 10.0  2.0  11.0
 11.0  2.0  12.0
 12.0  2.0  4.0
 3.0  13.0  5.0
 3.0  14.0  13.0
 7.0  14.0  3.0
 4.0  15.0  12.0
 4.0  6.0  15.0
 13.0  16.0  5.0
 5.0  17.0  6.0
 5.0  16.0  17.0
 6.0  18.0  15.0
 6.0  17.0  18.0
 7.0  19.0  14.0
 8.0  19.0  7.0
 8.0  20.0  19.0
 9.0  20.0  8.0
 9.0  21.0  20.0
 10.0  21.0  9.0
 10.0  22.0  21.0
 11.0  22.0  10.0
 11.0  23.0  22.0
 11.0  24.0  23.0
 12.0  24.0  11.0
 12.0  15.0  24.0
 13.0  25.0  16.0
 14.0  25.0  13.0
 14.0  26.0  25.0
 14.0  27.0  26.0
 19.0  27.0  14.0
 15.0  28.0  24.0
 15.0  18.0  28.0
 25.0  29.0  16.0
 16.0  30.0  17.0
 16.0  29.0  30.0
 17.0  31.0  18.0
 17.0  30.0  31.0
 18.0  32.0  28.0
 18.0  31.0  32.0
 19.0  33.0  27.0
 20.0  33.0  19.0
 20.0  34.0  33.0
 21.0  34.0  20.0
 21.0  35.0  34.0
 22.0  35.0  21.0
 22.0  36.0  35.0
 23.0  36.0  22.0
 23.0  37.0  36.0
 24.0  37.0  23.0
 24.0  38.0  37.0
 24.0  28.0  38.0
 25.0  39.0  29.0
 26.0  39.0  25.0
 26.0  40.0  39.0
 27.0  40.0  26.0
 27.0  41.0  40.0
 27.0  42.0  41.0
 33.0  42.0  27.0
 28.0  43.0  38.0
 28.0  44.0  43.0
 28.0  32.0  44.0
 45.0  46.0  29.0
 39.0  45.0  29.0
 29.0  46.0  30.0
 30.0  47.0  31.0
 46.0  47.0  30.0
 31.0  48.0  32.0
 47.0  48.0  31.0
 32.0  49.0  44.0
 48.0  49.0  32.0
 33.0  50.0  42.0
 34.0  50.0  33.0
 34.0  51.0  50.0
 35.0  51.0  34.0
 35.0  52.0  51.0
 36.0  52.0  35.0
 36.0  53.0  52.0
 37.0  53.0  36.0
 37.0  54.0  53.0
 38.0  54.0  37.0
 38.0  43.0  54.0
 55.0  45.0  39.0
 40.0  55.0  39.0
 56.0  55.0  40.0
 41.0  56.0  40.0
 57.0  56.0  41.0
 42.0  57.0  41.0
 58.0  57.0  42.0
 50.0  58.0  42.0
 43.0  59.0  54.0
 60.0  59.0  43.0
 44.0  60.0  43.0
 49.0  60.0  44.0
 45.0  61.0  46.0
 62.0  61.0  45.0
 55.0  62.0  45.0
 61.0  63.0  46.0
 46.0  63.0  47.0
 47.0  64.0  48.0
 63.0  64.0  47.0
 48.0  65.0  49.0
 64.0  65.0  48.0
 49.0  66.0  60.0
 65.0  66.0  49.0
 67.0  58.0  50.0
 51.0  67.0  50.0
 68.0  67.0  51.0
 52.0  68.0  51.0
 69.0  68.0  52.0
 53.0  69.0  52.0
 70.0  69.0  53.0
 54.0  70.0  53.0
 59.0  70.0  54.0
 71.0  62.0  55.0
 56.0  71.0  55.0
 72.0  71.0  56.0
 57.0  72.0  56.0
 73.0  72.0  57.0
 58.0  73.0  57.0
 74.0  73.0  58.0
 67.0  74.0  58.0
 59.0  75.0  70.0
 76.0  75.0  59.0
 60.0  76.0  59.0
 66.0  76.0  60.0
 61.0  77.0  63.0
 61.0  78.0  77.0
 62.0  78.0  61.0
 62.0  79.0  78.0
 71.0  79.0  62.0
 63.0  80.0  64.0
 63.0  77.0  80.0
 64.0  81.0  65.0
 64.0  80.0  81.0
 65.0  82.0  66.0
 65.0  81.0  82.0
 66.0  83.0  76.0
 66.0  82.0  83.0
 84.0  74.0  67.0
 68.0  84.0  67.0
 85.0  84.0  68.0
